,常绿林,夜间灯光,降水数值,县均年降雪量,公立学校,GDP,人均收入,移民,就业,% in Poverty,Clinical Care Rank,Length of Life Rank
35,0.6821970022801405,0.015177635804347087,0.4830532611791516,0.0919540229885058,0.05714285714285715,0.009581489791684886,0.03332962262050543,0.8309906794349832,0.013284594975970083,0.30434782608695654,0.6338028169014085,0.4714285714285714
36,0.047815028022607536,0.11320690937362675,0.24836228994588438,0.17241379310344823,0.22857142857142854,0.12119151290218598,0.27385060670154726,0.7912464835750691,0.12176424113411559,0.17391304347826086,0.15492957746478872,0.3142857142857143
37,0.1486947145631286,0.11814217624987323,0.5585303332383935,0.20689655172413796,0.1714285714285714,0.02097288686361408,0.08438160970722464,0.8125751489217182,0.028872129088795124,0.17391304347826086,0.647887323943662,0.7142857142857143
38,0.3924583654743383,0.32170503329614986,0.3301053830817433,0.08045977011494254,0.11428571428571428,0.013046497642525735,0.2367805855504842,0.8093423704909452,0.018968628276297497,0.30434782608695654,0.5774647887323944,0.9571428571428572
39,0.009811167878500261,0.015110029408782071,0.8715465679293652,0.19540229885057475,0.14285714285714285,0.02994219279785938,0.29569186240676826,0.8369776210163965,0.03474936776989239,0.17391304347826086,0.5352112676056339,0.12857142857142856
40,0.08394694087475635,0.03535814488050569,0.6812873825121049,0.08045977011494254,0.08571428571428572,0.009107467401115356,0.09048202159634855,0.8171100924596735,0.012563524894168301,0.30434782608695654,0.4225352112676057,0.8571428571428572
41,0.08080253086888067,0.09566304972450394,0.2720022785531193,0.0919540229885058,0.14285714285714285,0.019382125413790023,0.18125347879327613,0.8766469004081725,0.027398938060424986,0.21739130434782605,0.5492957746478874,0.05714285714285714
42,0.4843286251176488,0.014197343068654295,0.7225861577898036,0.18390804597701144,0.02857142857142857,0.005227221253090381,0.06668150951797835,0.8231784326433473,0.007945571284160263,0.30434782608695654,0.9154929577464789,0.9428571428571428
43,0.00941098270163943,0.17706114998478856,0.33580176587866717,0.3218390804597701,0.14285714285714285,0.06810771087002998,0.16163865078481565,0.8306085523152323,0.06990929697392072,0.2608695652173913,0.5070422535211268,0.5714285714285715
44,0.25433787761519233,0.20160227157489097,0.2611791512389634,0.0919540229885058,0.05714285714285715,0.002884884437178116,0.02609373260603365,0.8069994509313605,0.004552401784389696,0.4782608695652174,0.9295774647887325,1.0
45,0.15623524751033754,0.12693100767332588,0.7163201367131871,0.08045977011494254,0.14285714285714285,0.13000424642164973,0.25873316264054325,0.7338801279126965,0.14366545108281267,0.30434782608695654,0.0,0.41428571428571426
46,0.028255512695805892,0.11553933002061996,0.9894616918256909,0.05747126436781608,0.08571428571428572,0.01048182085544565,0.08081932539240777,0.8067510045448262,0.014643932833529414,0.3913043478260869,0.7887323943661972,0.7857142857142857
47,0.0051963283121069246,0.0,0.9903161492452295,0.05747126436781608,0.1714285714285714,0.009460667946015928,0.13314037626628072,0.8228702656112903,0.011047207664733463,0.30434782608695654,0.971830985915493,0.6714285714285715
48,0.0485320566055987,0.03495250650711558,0.8738251210481347,0.14942528735632182,0.11428571428571428,0.017699190188107512,0.2425915618390292,0.8205364847981734,0.022843086179950112,0.17391304347826086,0.8591549295774649,0.14285714285714285
49,0.2780948002679628,0.5405807389379036,0.3842210196525211,0.12643678160919541,0.14285714285714285,0.016537395888867077,0.1678058555048424,0.8748137316254079,0.020967958957656973,0.21739130434782605,0.619718309859155,0.4857142857142857
50,0.4062992291666704,0.10560118987256194,0.4084306465394474,0.3448275862068965,0.08571428571428572,0.0706287013345874,0.17566514527440724,0.7956660238727437,0.0745790020252064,0.30434782608695654,0.16901408450704225,0.014285714285714285
51,0.1315226294038042,0.14146638271980527,0.49159783537453716,0.05747126436781608,0.19999999999999998,0.11464907939705415,0.43308471557386163,0.9961905241613048,0.12547826956980754,0.043478260869565216,0.11267605633802817,0.0857142857142857
52,0.7742722849638273,0.41851739174525915,0.1005411563657077,0.06896551724137928,0.08571428571428572,0.005258131012622768,0.17464098853389742,0.8222835793409498,0.009092728232481275,0.4347826086956522,0.47887323943661975,0.6285714285714286
53,0.22155973812992746,1.0,0.23810880091142117,0.0,0.08571428571428572,0.010483229451675945,0.011377045530446384,0.7941322021690496,0.014292023032841467,0.5217391304347826,0.08450704225352114,0.9
54,0.700587892622295,0.19355711050265353,0.16434064369125645,0.17241379310344823,0.05714285714285715,0.030716365221782883,0.0672603807191362,0.8174176219047676,0.0335711599568048,0.34782608695652173,0.9577464788732395,0.3714285714285714
